mean,scale,id,sd,moransI,fractal
0.5,0.5,606,0.000414602762282109,0.00227712187436756,2.8873135199831
1,0.5,607,0.000319155708840031,0.0043114025400373,2.89597121722919
1.5,0.5,608,0.000247232446403929,0.00468958140174424,2.91542481834756
-2,1,609,0.00412514236720818,0.00119950350724317,2.91591335496543
-1.5,1,610,0.00206503992926623,0.00446465256345462,2.92835659740359
-1,1,611,0.00120695794738979,0.0156277804948434,2.78126275307641
-0.5,1,612,0.000834253042786062,0.0149364244706344,2.80561139131362
0,1,613,0.000582411441429617,0.0173600341737865,2.76882654544838
0.5,1,614,0.000412548444302347,0.022296151296818,2.74810855497174
1,1,615,0.000329414973028957,0.0157163885211167,2.77937057132213
1.5,1,616,0.000234836253960715,0.0170954699611104,2.78116859613215
-2,2,617,0.0032741590747837,0.0130471263047875,2.8722542512587
-1.5,2,618,0.00209778858313236,0.0278523513752389,2.6850264439001
-1,2,619,0.00132577739592762,0.0255022240311318,2.69302514785047
-0.5,2,620,0.000943373506913574,0.0398720900383152,2.71431652583085
0,2,621,0.000637108117085208,0.0387932755577371,2.68374200849901
0.5,2,622,0.000459511917789742,0.0408308328643703,2.62265780746607
1,2,623,0.000308076388886145,0.0389025449534133,2.67218075475897
1.5,2,624,0.00023925726174563,0.0436664771152808,2.62700315440573
-2,3,625,0.00363037844222446,0.025516697880029,2.71358095503793
-1.5,3,626,0.00231700729712779,0.0276453465161164,2.73176480157565
-1,3,627,0.0012298156043036,0.0400461020828876,2.63014681295596
-0.5,3,628,0.000764772246760078,0.0357561755215861,2.65014878974466
0,3,629,0.000502186849718657,0.0702000344352133,2.58521267762955
0.5,3,630,0.000409114344418569,0.0706932897584296,2.65837004302394
1,3,631,0.000346127456984904,0.081244780636225,2.60599841014192
1.5,3,632,0.000252192683236348,0.0595800081369809,2.58074532100529
-2,4,633,0.00377356817362016,0.0177235878435141,2.86540178821753
-1.5,4,634,0.00219288404405671,0.0396756075457939,2.66685017851878
-1,4,635,0.00119337494109426,0.0592870231321272,2.56017396477575
-0.5,4,636,0.000936766694365651,0.057535536198281,2.59224911942119
0,4,637,0.000520883716803131,0.102240420621738,2.5842025171164
0.5,4,638,0.000360675056529468,0.0655876611514122,2.59752824665117
1,4,639,0.000270660338103099,0.0962994121930818,2.62000626565837
1.5,4,640,0.00025047831820874,0.143182394635382,2.57426144677533
-2,5,641,0.00466687520007828,0.0353938110654983,2.3957025533118
-1.5,5,642,0.00352277626233441,0.0320710057919145,2.73105173911346
-1,5,643,0.00140417946215633,0.0533068576565409,2.60559542441755
-0.5,5,644,0.00090885985088374,0.0782370080832983,2.56242562735525
0,5,645,0.000505775753787664,0.0638970887620085,2.58937278005157
0.5,5,646,0.000539286167199005,0.113457146467899,2.56085124259943
1,5,647,0.000332620626099671,0.10723372749319,2.55887850002382
1.5,5,648,0.000241055687263554,0.108496752053464,2.53386415715462
-2,6,649,0.00462206123479724,0.013266092323635,2.7998927591205
-1.5,6,650,0.00262044623939778,0.0459305479884437,2.70178689717742
-1,6,651,0.00101484487311473,0.0874185426384885,2.52757845855786
-0.5,6,652,0.000612144025446227,0.101284606089404,2.59318982504766
0,6,653,0.000606645149498194,0.126351257097121,2.5962353733046
0.5,6,654,0.000394414837210459,0.168830867458353,2.54358896423006
1,6,655,0.00036005310830377,0.146382720474346,2.51776780948647
1.5,6,656,0.000256833402782692,0.186631736508786,2.54883649617563
-2,7,657,0.0110314718993663,0.0014771105523956,2.97025265660595
-1.5,7,658,0.00213322394757738,0.0481785806527731,2.54271773691392
-1,7,659,0.00114618596659903,0.100032942002709,2.56989557034197
-0.5,7,660,0.000959260824570886,0.128501460468989,2.55384278188589
0,7,661,0.000552366916488493,0.110050214360129,2.54157173253381
0.5,7,662,0.000319851384123144,0.0999770973067089,2.54917603004086
1,7,663,0.000253088952912476,0.114755016195175,2.52501693394377
1.5,7,664,0.000329860118534259,0.223613734890731,2.54494155976273
-2,8,665,0.0171332627549211,-0.000437787415174694,2.97025265660595
-1.5,8,666,0.0022234195565102,0.114305281040762,2.547479198278
-1,8,667,0.00109237782935676,0.134930882179071,2.59687601731406
-0.5,8,668,0.00069256844445247,0.0973844273285245,2.53346382007782
0,8,669,0.000473206035209375,0.118525406878197,2.56655527942167
0.5,8,670,0.000478748241645484,0.180741034876956,2.57743138009648
1,8,671,0.00025526589220848,0.18570821145769,2.55094452827131
1.5,8,672,0.000265289362049821,0.161532807720787,2.54814635294718
-2,9,673,0.00868881389866578,0.0191291319405171,2.41481721863394
-1.5,9,674,0.00390639276957708,0.029161203178309,2.69004107342349
-1,9,675,0.00076078571803904,0.071224171560846,2.60120098966512
-0.5,9,676,0.00105957344925675,0.156624996723834,2.56933184586152
0,9,677,0.000627383832808611,0.158888004109513,2.51075495157508
0.5,9,678,0.000354575428793873,0.195587861577305,2.55497303645788
1,9,679,0.000235592388355111,0.131277683014437,2.533107060066
1.5,9,680,0.000273860342796461,0.220074243348412,2.57155648684441
-2,10,681,0.00304519319900281,0.0542485445803424,2.70755402271828
-1.5,10,682,0.00170085580587371,0.0809779932543901,2.6526066587185
-1,10,683,0.00134227533546371,0.0774617056345148,2.55938190246416
-0.5,10,684,0.00141192357736557,0.0787052818603214,2.62205120599686
0,10,685,0.000647578350995757,0.103051801627239,2.57697731462108
0.5,10,686,0.000389443591834156,0.180319591182346,2.45964062368616
1,10,687,0.000243279331677189,0.13674419157245,2.5685368212082
1.5,10,688,0.0001930473412797,0.153463542716629,2.50527413999188
-2,15,689,0.00409000251026839,0.0392666077244907,2.82987857732993
-1.5,15,690,0.00122551135203208,0.169811227403926,2.55714379907403
-1,15,691,0.0025606673069958,0.0364665065197529,2.65039477285187
-0.5,15,692,0.000616917040868066,0.272121100907664,2.48089034938594
0,15,693,0.00105119996325854,0.197947043058225,2.43882698470574
0.5,15,694,0.000936489536704922,0.118903588682043,2.53910851836923
1,15,695,0.00033998104599121,0.243667958309718,2.49300655003152
1.5,15,696,0.000368271680589887,0.270924170991128,2.54664996257138
-2,20,697,0.00296678413395865,0.0585660119604913,2.54556543961023
-1.5,20,698,0.0012902510375184,0.149106936711418,2.59738917966207
-1,20,699,0.000595812414791874,0.163205977093474,2.46628481039086
-0.5,20,700,0.00108459881970255,0.129298791724981,2.45248847052121
0,20,701,0.000477877857608806,0.208145048220988,2.50431002940934
0.5,20,702,0.000373998637951151,0.175960131189522,2.53790008217591
1,20,703,0.000254877037029651,0.288312853908574,2.50653032995431
1.5,20,704,0.000200734416823792,0.215654519977531,2.522600623208
-2,25,705,0.00309938807057844,0.0334077554429686,2.6480344460689
-1.5,25,706,0.000546916812149777,0.148815893043004,2.49173062532719
-1,25,707,0.00195171362642612,0.0505579218607872,2.66682324339684
-0.5,25,708,0.0020208843868294,0.0398460841825739,2.6417472221728
0,25,709,0.00118720877794965,0.139297628841142,2.49822472985707
0.5,25,710,0.000137069160651216,0.169323489108076,2.5225292530905
1,25,711,0.000264498833641558,0.340031228085933,2.50269302192421
1.5,25,712,0.00012951429769557,0.257611599578906,2.50486530307545
-2,50,713,0.000904011702646013,0.255894571659282,2.46923305845699
-1.5,50,714,0.00210884811109277,0.0936539364009327,2.62525705245194
-1,50,715,0.000969394438097332,0.166479581049083,2.48487358720691
-0.5,50,716,0.00347308592429879,0.0777552463945596,2.41030501461072
0,50,717,0.00152124892231073,0.125545008688815,2.5724463327904
0.5,50,718,0.000947154121933117,0.186522832365083,2.47868400082871
1,50,719,0.000166044151406431,0.292337929304496,2.48580589213034
1.5,50,720,0.000110349132931187,0.323161013827255,2.52181921467562
-2,0.5,721,0.00354411845951274,-0.000648055786052805,2.99441920804927
-1.5,0.5,722,0.00198177691926828,0.000149913905093402,2.96435335550518
-1,0.5,723,0.00128817908362361,0.000870319361694545,2.93703838554306
-0.5,0.5,724,0.000909959308168179,0.00197464302239347,2.91014978743335
0,0.5,725,0.000592656284404417,0.00493390355081318,2.87812348708993
0.5,0.5,726,0.000429124508894737,0.00331133795092444,2.89330222752354
1,0.5,727,0.000317616905795803,0.00477287953761284,2.86485649300722
1.5,0.5,728,0.000246581458923816,0.00452286212576921,2.92464188842908
-2,1,729,0.00353580345274485,0.00768607908333205,2.88848713263981
-1.5,1,730,0.00216199674533214,0.00426631622060426,2.89502841287447
-1,1,731,0.00136083207321566,0.00925948040550484,2.84463832919181
-0.5,1,732,0.000886495207024699,0.0229164543166292,2.81868995619233
0,1,733,0.000565485576628035,0.011823152789401,2.78560377648963
0.5,1,734,0.000436958689363159,0.0186722126031675,2.76295710928031
1,1,735,0.000329478251190073,0.0232870697945925,2.72912794153703
1.5,1,736,0.000252682977815758,0.0164120842862133,2.76872228682653
-2,2,737,0.00426910371387517,0.0089899131435335,2.94975901284567
-1.5,2,738,0.00244693417293912,0.0257823997166882,2.76908806923912
-1,2,739,0.00130403499061587,0.0275680281779888,2.65812147331615
-0.5,2,740,0.000891862042325848,0.0189684937251524,2.69391689831714
0,2,741,0.000630890193375672,0.0374432420757309,2.69508051228073
0.5,2,742,0.00036014786329547,0.0605043292964438,2.63315067534807
1,2,743,0.000317729911475479,0.0502991891501849,2.62042402343638
1.5,2,744,0.00023046125633604,0.0565407862652728,2.62958515752812
-2,3,745,0.00530303910320382,0.00705548020164408,2.91259364344953
-1.5,3,746,0.00287431599393587,0.0248818006070622,2.67887749887425
-1,3,747,0.00142229837810456,0.0319548315877702,2.66835784955834
-0.5,3,748,0.00089388487080577,0.0617775385373487,2.57793275841558
0,3,749,0.000574499684682734,0.0691759522294835,2.67166297586466
0.5,3,750,0.000366224677509725,0.0474816271054473,2.63411631692065
1,3,751,0.000322365310534591,0.0571307307339784,2.56639796327735
1.5,3,752,0.000206323113601497,0.0709544881593981,2.59928188231951
-2,4,753,0.0036363664911789,0.0252798030518416,2.66256829454702
-1.5,4,754,0.00149028914977435,0.0420410800817637,2.70592866030003
-1,4,755,0.00153566833690884,0.0257717745076915,2.75909160678602
-0.5,4,756,0.000610066022718681,0.0763213891463048,2.55968621255014
0,4,757,0.000572664607592765,0.0808254800725509,2.55997390153899
0.5,4,758,0.000368039409446213,0.0882930711513907,2.55815138076418
1,4,759,0.000343463999517327,0.0925676363049888,2.58192233744923
1.5,4,760,0.000252998124826574,0.104083498472572,2.54245189767104
-2,5,761,0.00480957441516284,0.00214188695526715,3.02246219864608
-1.5,5,762,0.00127616153515482,0.0637037134790468,2.60370328875297
-1,5,763,0.00145412364758159,0.0903486030211134,2.67699230819716
-0.5,5,764,0.000965536897699948,0.061636794264339,2.60517826600717
0,5,765,0.000616008086637836,0.0891954016218257,2.58672297573519
0.5,5,766,0.000520670999888984,0.107549338899122,2.54941506452048
1,5,767,0.000235402585178043,0.106703467189702,2.58217661404359
1.5,5,768,0.000275825964409076,0.126344326300748,2.59855399538366
-2,6,769,0.0032927196690795,0.0296633005978032,2.69099770461583
-1.5,6,770,0.0017494884635012,0.0638021514110828,2.60965328415501
-1,6,771,0.00144038891723088,0.119288973204461,2.56366796148487
-0.5,6,772,0.000722673020627918,0.0637182707627214,2.61507241134138
0,6,773,0.000606030168014328,0.137530319586921,2.52878301670859
0.5,6,774,0.000326348755534701,0.1655822553419,2.55330746774897
1,6,775,0.000244036757182871,0.104262805128328,2.58077898776587
1.5,6,776,0.000199806292096309,0.154954614386458,2.57116905549506
-2,7,777,0.00508141172957421,0.0227102853872583,2.75667855439909
-1.5,7,778,0.00155398380730825,0.133845803063849,2.62798791568106
-1,7,779,0.00110367821960199,0.0756567046714137,2.53694426265194
-0.5,7,780,0.00105454458199095,0.0768641769614119,2.61978382522168
0,7,781,0.00039716230327505,0.129937587720476,2.57503147094329
0.5,7,782,0.000358987106888471,0.127971115240062,2.53389984098454
1,7,783,0.000329660226499969,0.144744191535554,2.56398452145322
1.5,7,784,0.000239582042962005,0.145330555026323,2.54869378794391
-2,8,785,0.00634530211075119,0.0110769125127495,2.91863229047142
-1.5,8,786,0.00613053445187067,0.0249613243024989,2.75096827191507
-1,8,787,0.00173280373629034,0.108586719409565,2.57417881961307
-0.5,8,788,0.000714520263800895,0.116531246419986,2.54927784947034
0,8,789,0.000811937437390461,0.143755937462963,2.51471512322301
0.5,8,790,0.000389915622206244,0.211034746539835,2.52908356949763
